Sr_no,Medical_store_name,Daily_customer_count,High_demand_categroies,Peak_seasons,Increased_disease_demand,Specify_disease,Supply_status,Stock_type,Factors_for_recommendation,customer_price_comparison,preferred_payment_methods,bulk_small_purchases,common_customer_problems,Daily_customer_count_num,Sales
1,Zeno Health,More than 100,Prescription medicines,Monsoon,Yes,DIABETICS,Mostly regular and on time,Both Branded and Generic,"Price, Brand name",Always,UPI / Mobile payment,Both,Different brand,120,5440.0
2,Wellness medical mahada mumbai,50-100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements",Demand remains about the same throughout the year,Yes,Bp and diabetes,Mostly regular and on time,Both Branded and Generic,"Brand name, Doctor’s prescription, Availability/stock",Always,"Cash, UPI / Mobile payment",Bulk purchases,Discount,75,3400.0
3,Mehul chemist,20-50,"Prescription medicines,",Monsoon,No,Unknown,Often delayed,Only Generic,"Doctor’s prescription,",Always,Mixed (cash + digital),Small quantities,Not knowing proper medicine names,35,1586.6666666666667
4,Mahalaxmi medical,50-100,"Prescription medicines, Vitamins and supplements",Monsoon,Yes,Covid,Mostly regular and on time,Both Branded and Generic,"Price, Availability/stock",Sometimes,"Cash, UPI / Mobile payment",Both,Availablity,75,3400.0
5,Pharmaco medical stores,More than 100,Over-the-counter (OTC) medicines,Winter,Yes,Unknown,Sometimes delayed,Only Branded,Availability/stock,Sometimes,UPI / Mobile payment,Small quantities,They are not aware of which is the perfect product for their problem,120,5440.0
6,Mahesh drug corner,0-20,Over-the-counter (OTC) medicines,Winter,Yes,Unknown,Mostly regular and on time,Both Branded and Generic,Brand name,Always,Cash,Small quantities,Nothing,10,453.33333333333337
7,XYZ Medics and Druggist,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,"Viral Fever, Dengue and Malaria During Monsoons",Mostly regular and on time,Both Branded and Generic,"Doctor’s prescription, Ingredients and Drugs in the Medicine",Rarely,"Cash, UPI / Mobile payment",Both,Doctor's Handwriting,75,3400.0
8,Heidi de f,50-100,Prescription medicines,Demand remains about the same throughout the year,No,Unknown,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Availability/stock",Sometimes,"Cash, UPI / Mobile payment",Bulk purchases,Hehdhd,75,3400.0
9,Samrath Medical,More than 100,Prescription medicines,Monsoon,Yes,Typhoid,Mostly regular and on time,Only Branded,Price,Sometimes,"Cash, UPI / Mobile payment",Small quantities,Shortage of money,120,5440.0
10,JK medical,0-20,Prescription medicines,Monsoon,Yes,Unknown,Sometimes delayed,Only Branded,Price,Sometimes,Cash,Small quantities,Unavailability of Products,10,453.33333333333337
11,Maharashtra medical,More than 100,Vitamins and supplements,Monsoon,Yes,COVID-19,Sometimes delayed,Both Branded and Generic,Brand name,Always,Mixed (cash + digital),Small quantities,Confusion between Generic and branded medicines,120,5440.0
12,Maharashtra medical and general Store,50-100,Over-the-counter (OTC) medicines,Monsoon,Yes,Unknown,Sometimes delayed,Both Branded and Generic,Brand name,Sometimes,UPI / Mobile payment,Both,"Expensive medicines can't effort, they go for cheaper products",75,3400.0
13,Trivedi medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,No,Unknown,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Sometimes,Cash,Both,Not checking the expiry date,35,1586.6666666666667
14,Metro Medical,50-100,"Prescription medicines, Wellness products",Monsoon,Yes,Viral Fever During monsoon season,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Always,Cash,Small quantities,Bargaining for discount,75,3400.0
15,Shri Ganesh Medical Store,20-50,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,"Viral, Cold",Sometimes delayed,Both Branded and Generic,Doctor’s prescription,Sometimes,"Cash, UPI / Mobile payment",Small quantities,Dose regimen.,35,1586.6666666666667
16,Green dot,50-100,Wellness products,Monsoon,Yes,Cough and cold,Mostly regular and on time,Only Generic,Price,Rarely,Mixed (cash + digital),Both,Sometimes unavailability of the medicine dur to minimum stock rarelyck,75,3400.0
17,Shifa madical,More than 100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements, Wellness products,",Demand remains about the same throughout the year,No,No,Often delayed,Both Branded and Generic,"Price, Brand name, Doctor’s prescription, Availability/stock",Always,"Cash, UPI / Mobile payment, Card payment, Mixed (cash + digital)",Both,No,120,5440.0
18,Meena medical store,0-20,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Sometimes,Cash,Small quantities,Price,10,453.33333333333337
19,Ambika medical store,20-50,Vitamins and supplements,Monsoon,Yes,Flu,Mostly regular and on time,Only Branded,Price,Always,Cash,Small quantities,Unavailability,35,1586.6666666666667
20,Khoj medical,20-50,Wellness products,Winter,Yes,Malaria,Mostly regular and on time,Both Branded and Generic,Availability/stock,Sometimes,UPI / Mobile payment,Small quantities,Out of stock,35,1586.6666666666667
21,Star medical,20-50,Prescription medicines,Monsoon,Yes,Flu typhoid,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Always,Mixed (cash + digital),Small quantities,Price,35,1586.6666666666667
22,Yadav senter,0-20,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Only Branded,Price,Always,Cash,Bulk purchases,Out of stock,10,453.33333333333337
23,Vinod  Medical Store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Mostly regular and on time,Only Branded,Brand name,Always,UPI / Mobile payment,Small quantities,out of stock,10,453.33333333333337
24,Ankush medical store,0-20,Wellness products,Summer,No,Dengue,Mostly regular and on time,Both Branded and Generic,Brand name,Always,UPI / Mobile payment,Bulk purchases,Out of stock,10,453.33333333333337
25,Ait,50-100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements, Wellness products",Monsoon,No,Unknown,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Doctor’s prescription, Availability/stock",Sometimes,"Cash, UPI / Mobile payment, Card payment, Mixed (cash + digital)",Small quantities,Nothing,75,3400.0
26,Metro medical,More than 100,"Over-the-counter (OTC) medicines, Vitamins and supplements, Wellness products,",Demand remains about the same throughout the year,Yes,Viral diseases,Mostly regular and on time,Both Branded and Generic,Price,Sometimes,Mixed (cash + digital),Both,Some time they want same brand medicine but some time pharmacist doesn't have same Brand medicine they give different brand medicine but customer doesn't accept,120,5440.0
27,Care,20-50,Prescription medicines,Monsoon,No,Unknown,Sometimes delayed,Only Branded,Doctor’s prescription,Always,UPI / Mobile payment,Small quantities,Doctor prescription,35,1586.6666666666667
28,Lucky medical,More than 100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements",Monsoon,Yes,Unknown,Sometimes delayed,Both Branded and Generic,"Price, Doctor’s prescription",Always,Mixed (cash + digital),Small quantities,Idk,120,5440.0
29,Lucky medical,More than 100,"Prescription medicines, Wellness products",Demand remains about the same throughout the year,Yes,Cough fever in viral.,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Doctor’s prescription",Sometimes,Mixed (cash + digital),Small quantities,Medicine is needed but expensive so customer faced to buy medicine,120,5440.0
30,Rizwan medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Mostly regular and on time,Only Branded,Doctor’s prescription,Sometimes,UPI / Mobile payment,Small quantities,Out of stock,35,1586.6666666666667
31,Ambika Store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Brand name,Always,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
32,Ramu store,20-50,Over-the-counter (OTC) medicines,Winter,No,Dengue,Mostly regular and on time,Both Branded and Generic,Price,Rarely,UPI / Mobile payment,Small quantities,Out off stock,35,1586.6666666666667
33,Meena medical store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Price,Sometimes,UPI / Mobile payment,Bulk purchases,Out of stock,10,453.33333333333337
34,Khoj store,0-20,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Sometimes delayed,Both Branded and Generic,Brand name,Always,UPI / Mobile payment,Bulk purchases,Out of stock,10,453.33333333333337
35,Rehan medical store,0-20,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Price,Always,UPI / Mobile payment,Small quantities,Out of stock,10,453.33333333333337
36,Sharma medical,0-20,Prescription medicines,Summer,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Price,Sometimes,UPI / Mobile payment,Small quantities,Price,10,453.33333333333337
37,Danish store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Always,UPI / Mobile payment,Small quantities,Price,10,453.33333333333337
38,Kamlesh medical,0-20,Prescription medicines,Summer,No,Dengue,Sometimes delayed,Both Branded and Generic,Price,Always,Cash,Bulk purchases,Out of stock,10,453.33333333333337
39,Vinod medical,0-20,Prescription medicines,Monsoon,Yes,Flu,Mostly regular and on time,Only Branded,Brand name,Sometimes,UPI / Mobile payment,Bulk purchases,Price,10,453.33333333333337
40,Aasif medical store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Brand name,Sometimes,UPI / Mobile payment,Bulk purchases,Price,10,453.33333333333337
41,Shree ganesh,20-50,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements",Monsoon,Yes,Typhoid,Mostly regular and on time,Both Branded and Generic,"Doctor’s prescription, Availability/stock",Sometimes,Mixed (cash + digital),Small quantities,Discount,35,1586.6666666666667
42,Sharma medical store,20-50,Vitamins and supplements,Summer,No,Dengue,Sometimes delayed,Both Branded and Generic,Price,Always,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
43,Apollo pharmacy,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,"Brand name, Doctor’s prescription",Always,UPI / Mobile payment,Small quantities,Availability of stock,75,3400.0
44,Ayan store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Brand name,Sometimes,Cash,Bulk purchases,Price,35,1586.6666666666667
45,Aman store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Sometimes delayed,Both Branded and Generic,Price,Sometimes,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
46,Brijesh Medical,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Summer,Yes,Viral fever,Mostly regular and on time,Both Branded and Generic,"Doctor’s prescription, Availability/stock",Rarely,"Cash, UPI / Mobile payment",Small quantities,Discount,75,3400.0
47,Balchand medical store,20-50,Prescription medicines,Summer,Yes,Dengue,Sometimes delayed,Only Branded,Brand name,Sometimes,UPI / Mobile payment,Small quantities,Out of stock,35,1586.6666666666667
48,Sarasvati medical store,50-100,Prescription medicines,Winter,Yes,Cold and cough,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Doctor’s prescription",Always,Mixed (cash + digital),Small quantities,Discount,75,3400.0
49,Geeta medical store,50-100,"Prescription medicines, Over-the-counter (OTC) medicines, Vitamins and supplements",Monsoon,Yes,Malaria,Mostly regular and on time,Both Branded and Generic,"Price, Brand name",Sometimes,Mixed (cash + digital),Both,Availability,75,3400.0
50,Krupa medical store,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,Typhoid,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Sometimes,Mixed (cash + digital),Small quantities,Discount,75,3400.0
51,Sameer medical store,0-20,Prescription medicines,Monsoon,No,Dengue,Sometimes delayed,Only Branded,Doctor’s prescription,Always,Cash,Bulk purchases,Out of stock,10,453.33333333333337
52,Sahil medical store,20-50,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Only Branded,Brand name,Always,Cash,Small quantities,Price,35,1586.6666666666667
53,Pragya Medical Store,20-50,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Doctor’s prescription, Availability/stock",Sometimes,Mixed (cash + digital),Small quantities,Discount,35,1586.6666666666667
54,Shoyab medical store,20-50,Over-the-counter (OTC) medicines,Winter,No,Flu,Sometimes delayed,Only Branded,Availability/stock,Sometimes,Card payment,Bulk purchases,Out of stock,35,1586.6666666666667
55,Ujjair medical store,0-20,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Sometimes delayed,Only Branded,Brand name,Sometimes,Mixed (cash + digital),Bulk purchases,Discount,10,453.33333333333337
56,Rakesh medical store,20-50,Vitamins and supplements,Summer,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Brand name,Always,UPI / Mobile payment,Bulk purchases,Price,35,1586.6666666666667
57,Roshan medical store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Sometimes delayed,Only Branded,Brand name,Always,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
58,Anil medical store,20-50,Vitamins and supplements,Monsoon,Yes,Dengue,Mostly regular and on time,Only Generic,Price,Always,UPI / Mobile payment,Small quantities,Discount,35,1586.6666666666667
59,Rohitash medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Flu,Mostly regular and on time,Only Generic,Brand name,Always,Cash,Bulk purchases,Price,35,1586.6666666666667
60,Pankar store,0-20,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Sometimes delayed,Both Branded and Generic,Doctor’s prescription,Sometimes,UPI / Mobile payment,Small quantities,Out of stock,10,453.33333333333337
61,Sohil medical store,0-20,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Sometimes delayed,Both Branded and Generic,Brand name,Always,Card payment,Bulk purchases,Discount,10,453.33333333333337
62,Sohail medical store d,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Mostly regular and on time,Both Branded and Generic,Brand name,Always,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
63,Mahesh medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Flu,Sometimes delayed,Only Branded,Brand name,Sometimes,UPI / Mobile payment,Bulk purchases,Price,35,1586.6666666666667
64,Suresh medical store,20-50,Prescription medicines,Monsoon,No,Dengue,Sometimes delayed,Only Generic,Price,Sometimes,Card payment,Small quantities,Discount,35,1586.6666666666667
65,Raju store,20-50,Prescription medicines,Monsoon,Yes,Flu,Sometimes delayed,Both Branded and Generic,Brand name,Sometimes,UPI / Mobile payment,Bulk purchases,Price,35,1586.6666666666667
66,Mubarak medical store,0-20,Prescription medicines,Summer,Yes,Dengue,Mostly regular and on time,Only Branded,Price,Sometimes,UPI / Mobile payment,Small quantities,Out of stock,10,453.33333333333337
67,Piyush medical store,50-100,"Prescription medicines, Vitamins and supplements",Monsoon,Yes,Cold and fever,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Rarely,Mixed (cash + digital),Small quantities,Discount,75,3400.0
68,Arshan medical store,20-50,Vitamins and supplements,Monsoon,Yes,Flu,Sometimes delayed,Only Branded,Price,Always,UPI / Mobile payment,Small quantities,Discount,35,1586.6666666666667
69,Ramesh medical store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Mostly regular and on time,Only Branded,Price,Always,UPI / Mobile payment,Small quantities,Price,35,1586.6666666666667
70,R m medical,20-50,Vitamins and supplements,Monsoon,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Doctor’s prescription,Always,UPI / Mobile payment,Small quantities,Out of stock,35,1586.6666666666667
71,Ramu medical store,20-50,Vitamins and supplements,Winter,Yes,Flu,Sometimes delayed,Both Branded and Generic,Price,Always,Cash,Bulk purchases,Discount,35,1586.6666666666667
72,Mahi medical store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Sometimes delayed,Both Branded and Generic,Price,Sometimes,Card payment,Small quantities,Out of stock,10,453.33333333333337
73,Khusi store,0-20,Prescription medicines,Monsoon,Yes,Dengue,Mostly regular and on time,Only Branded,Availability/stock,Always,UPI / Mobile payment,Small quantities,Price,10,453.33333333333337
74,Shyam medical store,20-50,Over-the-counter (OTC) medicines,Summer,No,Flu,Sometimes delayed,Both Branded and Generic,Price,Sometimes,Card payment,Small quantities,Price,35,1586.6666666666667
75,Shaheen medical store,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Flu,Sometimes delayed,Both Branded and Generic,Brand name,Sometimes,UPI / Mobile payment,Bulk purchases,Out of stock,35,1586.6666666666667
76,Om,50-100,"Prescription medicines, Over-the-counter (OTC) medicines",Monsoon,No,Unknown,Mostly regular and on time,Both Branded and Generic,"Price, Brand name, Doctor’s prescription",Sometimes,"Cash, UPI / Mobile payment",Both,Brand,75,3400.0
77,Shyam medical store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Sometimes delayed,Only Branded,Doctor’s prescription,Sometimes,Mixed (cash + digital),Bulk purchases,Out of stock,35,1586.6666666666667
78,Mahi medical store,20-50,Vitamins and supplements,Monsoon,Yes,Flu,Mostly regular and on time,Both Branded and Generic,Price,Always,Card payment,Bulk purchases,Price,35,1586.6666666666667
79,Faiz medical store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Dengue,Mostly regular and on time,Only Branded,Price,Always,Cash,Small quantities,Discount,35,1586.6666666666667
80,Naresh store,0-20,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Sometimes delayed,Only Branded,Brand name,Sometimes,Cash,Bulk purchases,Out of stock,10,453.33333333333337
81,Nilesh,20-50,Over-the-counter (OTC) medicines,Monsoon,Yes,Dengue,Sometimes delayed,Both Branded and Generic,Doctor’s prescription,Always,Mixed (cash + digital),Bulk purchases,Unknown,35,1586.6666666666667
82,Swami store,20-50,Over-the-counter (OTC) medicines,Summer,Yes,Flu,Sometimes delayed,Both Branded and Generic,Price,Always,UPI / Mobile payment,Small quantities,Out of stock,35,1586.6666666666667
83,Sm medical store,20-50,Vitamins and supplements,Summer,Yes,Dengue,Sometimes delayed,Only Branded,Price,Always,Mixed (cash + digital),Small quantities,Discount,35,1586.6666666666667
84,Mother chemist,20-50,Prescription,Monsoon,Yes,Dengue and Malaria,regular,Both Branded and Generic,Doctor's prescription and stock,Always,Mixed (cash + digital),Small quantities,Discount,35,1586.6666666666667
85,NM Medical,20-50,Prescription,Summer,Yes,cold and fever,regular,Both Branded and Generic,Doctor's prescription,Always,UPI / Mobile payment,Small quantities,Unknown,35,1586.6666666666667
86,Royal Medical,50-100,Prescription,Monsoon,Yes,Cold,regular,Both Branded and Generic,Stock and Brand,Always,UPI / Mobile payment,Small quantities,Unknown,75,3400.0
87,Unique Medical,50-100,Prescription Vitamins,Monsoon,Yes,viral fever and typhoid,regular,Only Branded,Doctor's prescription,Rarely,Mixed (cash + digital),Both,Discount,75,3400.0
88,Mujawar Medical,50-100,Prescription,Monsoon,No,cold and fever,regular,Both Branded and Generic,Price,Always,UPI / Mobile payment,Small quantities,stock availability,75,3400.0
89,Bhairav Medical,50-100,Prescription and Over-the-counter(OTC) medicine,Monsoon,Yes,fever,regular,Only Branded,Brand,Always,Mixed (cash + digital),Small quantities,Unknown,75,3400.0
90,Krishna Medical,50-100,Prescription and Vitamins,Monsoon,Yes,fever and Dengue,regular,Only Branded,Doctor's prescription,Rarely,UPI / Mobile payment,Both,Unknown,75,3400.0
